GEO_ID,foodstamps
1400000US18097310104,10
1400000US18097310105,16.2
1400000US18097310106,6.3
1400000US18097310108,1.8
1400000US18097310110,5.1
1400000US18097310111,9.2
1400000US18097310112,1.1
1400000US18097310113,0
1400000US18097310201,7
1400000US18097310203,6
1400000US18097310204,19.7
1400000US18097310305,13.8
1400000US18097310306,31.1
1400000US18097310308,8
1400000US18097310309,21.2
1400000US18097310310,7.2
1400000US18097310311,8.7
1400000US18097310312,4
1400000US18097320105,8.3
1400000US18097320106,2.2
1400000US18097320107,0.4
1400000US18097320108,15.1
1400000US18097320109,11.8
1400000US18097320202,0
1400000US18097320203,6.2
1400000US18097320205,2.6
1400000US18097320206,31.3
1400000US18097320301,0
1400000US18097320303,2.2
1400000US18097320305,0
1400000US18097320306,0
1400000US18097320400,1.5
1400000US18097320500,8.2
1400000US18097320600,5.2
1400000US18097320700,0
1400000US18097320800,0
1400000US18097320901,3.9
1400000US18097320902,17.3
1400000US18097320903,10.9
1400000US18097321001,7.7
1400000US18097321002,3.7
1400000US18097321100,7.7
1400000US18097321200,0.8
1400000US18097321300,0
1400000US18097321400,1.1
1400000US18097321600,7.2
1400000US18097321700,0
1400000US18097321800,1.2
1400000US18097321900,1
1400000US18097322000,13.9
1400000US18097322100,2.9
1400000US18097322200,1.1
1400000US18097322300,1.7
1400000US18097322400,2.5
1400000US18097322500,12.8
1400000US18097322601,55.8
1400000US18097322602,5.3
1400000US18097322700,16
1400000US18097330103,1
1400000US18097330105,11.3
1400000US18097330106,3.8
1400000US18097330107,0.5
1400000US18097330108,1
1400000US18097330109,0
1400000US18097330203,1.1
1400000US18097330204,1.1
1400000US18097330206,1.2
1400000US18097330208,1.3
1400000US18097330210,8.3
1400000US18097330211,33
1400000US18097330212,13.7
1400000US18097330213,1.2
1400000US18097330401,4.4
1400000US18097330500,13.5
1400000US18097330600,27
1400000US18097330701,26.9
1400000US18097330702,13.4
1400000US18097330803,45
1400000US18097330804,33.6
1400000US18097330805,24.2
1400000US18097330806,33.3
1400000US18097330900,31.9
1400000US18097331000,26.5
1400000US18097340101,9.3
1400000US18097340102,10.7
1400000US18097340108,7.1
1400000US18097340111,1.1
1400000US18097340112,11
1400000US18097340113,17.1
1400000US18097340114,2.2
1400000US18097340115,8.2
1400000US18097340201,15.8
1400000US18097340202,9.1
1400000US18097340301,40.1
1400000US18097340302,15.1
1400000US18097340400,21.3
1400000US18097340500,16.7
1400000US18097340600,13.5
1400000US18097340700,22.2
1400000US18097340800,14.1
1400000US18097340901,4.5
1400000US18097340903,6.3
1400000US18097340904,7.7
1400000US18097341000,5.1
1400000US18097341100,16.9
1400000US18097341200,21.6
1400000US18097341600,26.7
1400000US18097341701,30.5
1400000US18097341702,11.3
1400000US18097341902,1.7
1400000US18097341903,10.5
1400000US18097341904,15.8
1400000US18097342000,3.5
1400000US18097342101,14.8
1400000US18097342200,18.9
1400000US18097342300,22.7
1400000US18097342400,15.9
1400000US18097342500,20.3
1400000US18097342600,19.4
1400000US18097350100,23
1400000US18097350300,30.4
1400000US18097350400,5.6
1400000US18097350500,25.1
1400000US18097350600,20.5
1400000US18097350700,20.1
1400000US18097350800,29.3
1400000US18097350900,22.7
1400000US18097351000,20.4
1400000US18097351200,34.7
1400000US18097351500,8.8
1400000US18097351600,4.2
1400000US18097351700,7.8
1400000US18097351900,22.2
1400000US18097352100,25.9
1400000US18097352300,17.1
1400000US18097352400,24.9
1400000US18097352500,19.8
1400000US18097352600,22.6
1400000US18097352700,30.5
1400000US18097352800,27.4
1400000US18097353300,6.2
1400000US18097353500,11.7
1400000US18097353600,19.7
1400000US18097354201,13.8
1400000US18097354202,10.4
1400000US18097354400,19.7
1400000US18097354500,19.8
1400000US18097354700,13.7
1400000US18097354800,37
1400000US18097354900,25.9
1400000US18097355000,33
1400000US18097355100,54.6
1400000US18097355300,13.9
1400000US18097355400,23.8
1400000US18097355500,20
1400000US18097355600,34.5
1400000US18097355700,24
1400000US18097355900,9.5
1400000US18097356200,3.4
1400000US18097356400,24
1400000US18097356900,25.1
1400000US18097357000,16.2
1400000US18097357100,11.6
1400000US18097357200,33.2
1400000US18097357300,28.6
1400000US18097357400,40.1
1400000US18097357500,13.5
1400000US18097357601,17.4
1400000US18097357602,20.2
1400000US18097357800,29.9
1400000US18097357900,19.8
1400000US18097358000,33.8
1400000US18097358100,25.9
1400000US18097360101,22.9
1400000US18097360102,35.4
1400000US18097360201,21.6
1400000US18097360202,15.4
1400000US18097360301,11.6
1400000US18097360302,30.1
1400000US18097360401,20.3
1400000US18097360402,43.8
1400000US18097360405,13.2
1400000US18097360406,35.5
1400000US18097360407,18.3
1400000US18097360501,8.4
1400000US18097360502,11.9
1400000US18097360601,1.3
1400000US18097360602,20.1
1400000US18097360700,3.3
1400000US18097360800,15.8
1400000US18097360900,31.6
1400000US18097361000,1.7
1400000US18097361100,11.3
1400000US18097361200,15.6
1400000US18097361300,6.9
1400000US18097361401,3.1
1400000US18097361402,13.7
1400000US18097361601,1.7
1400000US18097361602,12.5
1400000US18097370201,13.1
1400000US18097370203,22.4
1400000US18097370204,11.4
1400000US18097370303,5.1
1400000US18097370304,2
1400000US18097370305,42.6
1400000US18097370306,8.9
1400000US18097380101,4.8
1400000US18097380102,20
1400000US18097380103,12.5
1400000US18097380200,20.5
1400000US18097380301,14
1400000US18097380302,18.2
1400000US18097380402,23.6
1400000US18097380403,10.2
1400000US18097380404,10.8
1400000US18097380501,10.6
1400000US18097380502,14.4
1400000US18097380600,7.7
1400000US18097380700,10.3
1400000US18097380800,9.1
1400000US18097380901,4.5
1400000US18097380902,0.9
1400000US18097381002,2.2
1400000US18097381003,14.2
1400000US18097381004,25.1
1400000US18097381101,2
1400000US18097381102,6
1400000US18097381203,28
1400000US18097381204,13.5
1400000US18097381205,6.5
1400000US18097381206,3.2
1400000US18097381207,4.8
1400000US18097390102,16.3
1400000US18097390103,8.9
1400000US18097390104,4
1400000US18097390200,8.3
1400000US18097390300,4
1400000US18097390405,1.5
1400000US18097390406,3.6
1400000US18097390407,0.9
1400000US18097390408,2.7
1400000US18097390409,2.2
1400000US18097390410,1.4
1400000US18097390411,8.6
1400000US18097390500,31.3
1400000US18097390601,11.3
1400000US18097390602,7.3
1400000US18097390700,18.5
1400000US18097390801,-
1400000US18097390802,7.7
1400000US18097390900,7.8
1400000US18097391001,0
1400000US18097391002,1.9
1600000US1836003,12.7
