GEO_ID,artcount
1400000US18097342300,10
1400000US18097342400,6
1400000US18097342500,13
1400000US18097342600,12
1400000US18097350100,16
1400000US18097350300,10
1400000US18097350400,9
1400000US18097370201,8
1400000US18097380200,6
1400000US18097380402,0
1400000US18097380501,2
1400000US18097350500,7
1400000US18097350600,4
1400000US18097351000,15
1400000US18097351200,45
1400000US18097351500,5
1400000US18097351600,3
1400000US18097351700,20
1400000US18097352100,7
1400000US18097352300,4
1400000US18097352400,27
1400000US18097352500,7
1400000US18097352600,17
1400000US18097352700,24
1400000US18097350700,7
1400000US18097353300,13
1400000US18097353500,6
1400000US18097353600,25
1400000US18097322000,17
1400000US18097342000,7
1400000US18097380502,3
1400000US18097310201,1
1400000US18097310305,3
1400000US18097340500,10
1400000US18097354700,13
1400000US18097360202,7
1400000US18097310104,1
1400000US18097310105,1
1400000US18097310106,0
1400000US18097310108,1
1400000US18097322200,5
1400000US18097354500,26
1400000US18097321900,2
1400000US18097350900,8
1400000US18097361100,17
1400000US18097350800,6
1400000US18097331000,8
1400000US18097351900,4
1400000US18097310110,0
1400000US18097310310,0
1400000US18097330109,1
1400000US18097330804,1
1400000US18097340700,14
1400000US18097340800,3
1400000US18097357800,18
1400000US18097357900,68
1400000US18097358000,11
1400000US18097358100,20
1400000US18097360101,3
1400000US18097360102,7
1400000US18097360201,15
1400000US18097390200,4
1400000US18097390300,15
1400000US18097341000,12
1400000US18097341100,11
1400000US18097341200,7
1400000US18097360301,4
1400000US18097360302,3
1400000US18097360401,0
1400000US18097360405,0
1400000US18097360501,13
1400000US18097360502,21
1400000US18097360601,15
1400000US18097360602,22
1400000US18097360700,5
1400000US18097310111,0
1400000US18097341600,37
1400000US18097341902,6
1400000US18097342101,8
1400000US18097340112,0
1400000US18097340114,9
1400000US18097310204,3
1400000US18097310312,2
1400000US18097360900,13
1400000US18097361000,12
1400000US18097361200,24
1400000US18097361300,9
1400000US18097310203,1
1400000US18097340202,4
1400000US18097340201,6
1400000US18097330206,0
1400000US18097330806,3
1400000US18097310309,1
1400000US18097330805,14
1400000US18097341904,1
1400000US18097341903,0
1400000US18097340113,0
1400000US18097340111,1
1400000US18097342200,12
1400000US18097310311,8
1400000US18097355100,6
1400000US18097360402,2
1400000US18097340901,3
1400000US18097320105,0
1400000US18097321300,4
1400000US18097330203,0
1400000US18097330204,6
1400000US18097330401,6
1400000US18097354400,37
1400000US18097354900,12
1400000US18097355000,44
1400000US18097355300,11
1400000US18097355400,15
1400000US18097355500,3
1400000US18097355600,10
1400000US18097355700,39
1400000US18097380600,5
1400000US18097330500,88
1400000US18097330600,13
1400000US18097330900,10
1400000US18097340101,2
1400000US18097355900,113
1400000US18097380700,2
1400000US18097380800,3
1400000US18097380901,4
1400000US18097380902,3
1400000US18097381002,11
1400000US18097381101,5
1400000US18097381102,5
1400000US18097340102,1
1400000US18097381203,3
1400000US18097381204,2
1400000US18097381205,4
1400000US18097340108,0
1400000US18097340400,16
1400000US18097340600,10
1400000US18097356400,46
1400000US18097356900,92
1400000US18097357000,32
1400000US18097357100,127
1400000US18097352800,24
1400000US18097357200,19
1400000US18097357300,9
1400000US18097357400,8
1400000US18097357500,9
1400000US18097320202,10
1400000US18097320203,0
1400000US18097320400,6
1400000US18097320500,0
1400000US18097320600,5
1400000US18097320301,2
1400000US18097320700,66
1400000US18097322500,15
1400000US18097322700,1
1400000US18097320903,0
1400000US18097321001,10
1400000US18097321002,12
1400000US18097320800,1
1400000US18097321600,5
1400000US18097321700,13
1400000US18097310306,24
1400000US18097330103,2
1400000US18097310308,0
1400000US18097321100,5
1400000US18097321200,104
1400000US18097321400,10
1400000US18097320106,0
1400000US18097320107,0
1400000US18097320108,0
1400000US18097320109,0
1400000US18097320303,0
1400000US18097330105,4
1400000US18097330106,0
1400000US18097330107,6
1400000US18097321800,8
1400000US18097322100,3
1400000US18097322300,3
1400000US18097322400,6
1400000US18097320901,6
1400000US18097320902,0
1400000US18097356200,58
1400000US18097360800,3
1400000US18097354800,11
1400000US18097390700,26
1400000US18097390900,14
1400000US18097330208,2
1400000US18097390500,11
1400000US18097330803,2
1400000US18097380404,5
1400000US18097390102,2
1400000US18097380403,13
1400000US18097390405,2
1400000US18097330108,0
